Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
102.0,Ben Roethlisberger,23.0,PIT,QB,12.0,12.0,31.0,69.0,3.0,10.0,32.3,13.0,2.2,5.8,2.6,2.0,
103.0,Najeh Davenport,26.0,GNB,RB,5.0,1.0,30.0,105.0,2.0,9.0,43.3,24.0,3.5,21.0,6.0,1.0,
104.0,Alex Smith,21.0,SFO,QB,9.0,7.0,30.0,103.0,0.0,3.0,30.0,19.0,3.4,11.4,3.3,11.0,
105.0,Eli Manning,24.0,NYG,QB,16.0,16.0,29.0,80.0,1.0,6.0,34.5,14.0,2.8,5.0,1.8,9.0,
106.0,Josh McCown,26.0,ARI,QB,9.0,6.0,29.0,139.0,0.0,7.0,51.7,12.0,4.8,15.4,3.2,5.0,
107.0,Lorenzo Neal,35.0,SDG,FB,16.0,15.0,29.0,98.0,0.0,18.0,82.8,9.0,3.4,6.1,1.8,0.0,"PB,AP-2"
108.0,Earnest Graham,25.0,TAM,RB,16.0,0.0,28.0,83.0,0.0,4.0,28.6,16.0,3.0,5.2,1.8,1.0,
109.0,Tom Brady,28.0,NWE,QB,16.0,16.0,27.0,89.0,1.0,15.0,63.0,15.0,3.3,5.6,1.7,4.0,"PB,AP-2,AP MVP-3,AP OPoY-4"
110.0,Rock Cartwright,26.0,WAS,FB,16.0,0.0,27.0,199.0,2.0,10.0,55.6,52.0,7.4,12.4,1.7,1.0,
111.0,Gus Frerotte,34.0,MIA,QB,16.0,15.0,27.0,61.0,0.0,6.0,33.3,14.0,2.3,3.8,1.7,13.0,
112.0,Donovan McNabb,29.0,PHI,QB,9.0,9.0,25.0,55.0,1.0,7.0,28.0,11.0,2.2,6.1,2.8,8.0,
113.0,Daunte Culpepper,28.0,MIN,QB,7.0,7.0,24.0,147.0,1.0,11.0,54.2,18.0,6.1,21.0,3.4,5.0,
114.0,Jake Delhomme,30.0,CAR,QB,16.0,16.0,24.0,31.0,1.0,3.0,20.8,12.0,1.3,1.9,1.5,12.0,PB
115.0,Joey Harrington,27.0,DET,QB,12.0,11.0,24.0,80.0,0.0,3.0,29.2,15.0,3.3,6.7,2.0,7.0,
116.0,Kyle Orton,23.0,CHI,QB,15.0,15.0,24.0,44.0,0.0,3.0,8.3,15.0,1.8,2.9,1.6,12.0,
117.0,Mike Cloud,30.0,2TM,RB,7.0,0.0,24.0,59.0,0.0,1.0,25.0,15.0,2.5,8.4,3.4,0.0,
117.0,Mike Cloud,30.0,NWE,RB,6.0,0.0,23.0,59.0,0.0,1.0,26.1,15.0,2.6,9.8,3.8,0.0,
117.0,Mike Cloud,30.0,NYG,RB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,
