Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
,Boogie Basham,25,BUF,DE,15,0,1,21,0,21,2,0,0,1,1,0,2.0,19,9,10,1,5,0
4038902.0,Shaun Bradley,25,PHI,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0
4361577.0,Dyami Brown,23,WAS,WR,15,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0
4360466.0,Darien Butler,22,LVR,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,11,3,8,0,0,0
4363097.0,Percy Butler,22,WAS,S,15,0,0,0,0,0,1,0,0,1,0,0,0.0,11,9,2,0,0,0
4249766.0,Jack Cochrane,23,KAN,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,0,0
4240631.0,DeeJay Dallas,24,SEA,RB,15,0,0,0,0,0,0,1,1,1,47,0,0.0,8,5,3,0,0,0
550627.0,Daniel Ekuale,28,NWE,DT,15,0,0,0,0,0,1,0,0,0,0,0,2.0,14,10,4,2,3,0
547259.0,Tre Flowers,27,CIN,CB,15,0,1,0,0,0,3,0,0,1,0,0,0.0,27,20,7,0,0,0
4036132.0,Chauncey Golston,24,DAL,LB,15,0,0,0,0,0,1,0,0,0,0,0,1.0,22,13,9,2,2,0
382341.0,Ryan Griffin,32,CHI,TE,15,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0
,Justice Hill,25,BAL,RB,15,0,0,0,0,0,0,0,2,0,0,0,0.0,6,6,0,0,0,0
,Jesper Horsted,25,LVR,WR,15,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0
4569511.0,Drake Jackson,21,SFO,DE,15,0,1,0,0,0,8,0,0,0,0,0,3.0,14,8,6,3,6,0
3139602.0,D'Ernest Johnson,26,CLE,RB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0
533313.0,Joseph Jones,28,TEN,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,18,13,5,0,0,0
4243457.0,DeAngelo Malone,23,ATL,LB,15,0,0,0,0,0,0,0,0,0,0,0,1.0,29,18,11,4,2,0
4382466.0,Jalen Nailor,23,MIN,WR,15,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0
3916204.0,James Proche,26,BAL,WR,15,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0
,Chris Rumph,24,LAC,LB,15,0,0,0,0,0,1,0,0,0,0,0,2.0,15,7,8,2,6,0
546087.0,Dawuane Smoot,27,JAX,DE,15,0,0,0,0,0,2,1,0,1,0,0,5.0,21,14,7,6,12,0
4249836.0,Pierre Strong,24,NWE,RB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0
4240255.0,Grant Stuard,24,IND,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,11,9,2,0,0,0
4258209.0,Ambry Thomas,23,SFO,CB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,13,9,4,0,0,0
487957.0,Daniel Thomas,24,JAX,S,15,0,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,0
4046528.0,Josh Uche,24,NWE,LB,15,0,0,0,0,0,0,2,0,0,0,0,11.5,27,23,4,9,14,0
