Player ID,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret.1,Yds.1,KRTD,Lng.1,Y/Ret.1,APYd
135668.0,Michael Burton,30.0,KAN,RB,17.0,0.0,0.0,0.0,0.0,0.0,,2.0,29.0,0.0,20.0,14.5,47.0
,Trenton Cannon,28.0,TEN,RB,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,33.0,0.0,19.0,16.5,33.0
4367567.0,Julius Chestnut,22.0,TEN,RB,6.0,0.0,0.0,0.0,0.0,0.0,,10.0,215.0,0.0,33.0,21.5,268.0
4371737.0,Chris Claybrooks,25.0,JAX,CB,17.0,0.0,0.0,0.0,0.0,0.0,,4.0,77.0,0.0,22.0,19.3,77.0
4034964.0,Tyrie Cleveland,25.0,DEN,WR,6.0,0.0,0.0,0.0,0.0,0.0,,2.0,18.0,0.0,10.0,9.0,46.0
3914151.0,Josiah Deguara,25.0,GNB,TE,17.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,114.0
4361432.0,Romeo Doubs,22.0,GNB,WR,13.0,7.0,0.0,0.0,0.0,0.0,,2.0,39.0,0.0,21.0,19.5,475.0
,Kyle Dugger,26.0,NWE,SS,15.0,15.0,0.0,0.0,0.0,0.0,,1.0,37.0,0.0,37.0,37.0,151.0
4259169.0,Trestan Ebner,23.0,CHI,RB,17.0,0.0,0.0,0.0,0.0,0.0,,10.0,226.0,0.0,30.0,22.6,270.0
4043016.0,D'Wayne Eskridge,25.0,SEA,WR,10.0,0.0,0.0,0.0,0.0,0.0,,7.0,150.0,0.0,29.0,21.4,218.0
189906.0,Chris Evans,25.0,CIN,RB,12.0,0.0,0.0,0.0,0.0,0.0,,10.0,211.0,0.0,29.0,21.1,249.0
4372019.0,Jerome Ford,23.0,CLE,RB,13.0,0.0,0.0,0.0,0.0,0.0,,30.0,723.0,0.0,48.0,24.1,735.0
,Jody Fortson,27.0,KAN,TE,13.0,1.0,0.0,0.0,0.0,0.0,,1.0,12.0,0.0,12.0,12.0,120.0
4360294.0,Antonio Gibson,24.0,WAS,RB,15.0,6.0,0.0,0.0,0.0,0.0,,21.0,486.0,0.0,45.0,23.1,1385.0
4039160.0,Kylen Granson,24.0,IND,TE,13.0,4.0,0.0,0.0,0.0,0.0,,1.0,15.0,0.0,15.0,15.0,317.0
4372071.0,Hassan Haskins,23.0,TEN,RB,15.0,1.0,0.0,0.0,0.0,0.0,,19.0,414.0,0.0,37.0,21.8,564.0
,Jamycal Hasty,26.0,JAX,RB,17.0,0.0,0.0,0.0,0.0,0.0,,4.0,97.0,0.0,29.0,24.3,417.0
4258248.0,Peyton Hendershot,23.0,DAL,TE,17.0,2.0,0.0,0.0,0.0,0.0,,1.0,18.0,0.0,18.0,18.0,123.0
4035886.0,Khalil Herbert,24.0,CHI,RB,13.0,1.0,0.0,0.0,0.0,0.0,,5.0,146.0,0.0,50.0,29.2,934.0
515708.0,Tyler Higbee,29.0,LAR,TE,17.0,17.0,0.0,0.0,0.0,0.0,,1.0,7.0,0.0,7.0,7.0,627.0
,Justice Hill,25.0,BAL,RB,15.0,0.0,0.0,0.0,0.0,0.0,,10.0,247.0,0.0,56.0,24.7,567.0
482594.0,Taysom Hill,32.0,NOR,TE/QB,16.0,8.0,0.0,0.0,0.0,0.0,,3.0,69.0,0.0,26.0,23.0,721.0
,Michael Hoecht,25.0,LAR,DT/LB,17.0,6.0,0.0,0.0,0.0,0.0,,1.0,22.0,0.0,22.0,22.0,22.0
546471.0,Austin Hooper,28.0,TEN,TE,17.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,444.0
4241416.0,Chuba Hubbard,23.0,CAR,RB,15.0,2.0,0.0,0.0,0.0,0.0,,5.0,104.0,0.0,36.0,20.8,745.0
546824.0,Godwin Igwebuike,28.0,SEA,RB,5.0,0.0,0.0,0.0,0.0,0.0,,11.0,308.0,0.0,50.0,28.0,315.0
3917668.0,Alec Ingold,26.0,MIA,FB,17.0,14.0,0.0,0.0,0.0,0.0,,2.0,20.0,0.0,12.0,10.0,133.0
,Justin Jackson,26.0,DET,RB,16.0,0.0,0.0,0.0,0.0,0.0,,23.0,613.0,0.0,42.0,26.7,884.0
3139602.0,D'Ernest Johnson,26.0,CLE,RB,15.0,0.0,0.0,0.0,0.0,0.0,,1.0,27.0,0.0,27.0,27.0,51.0
,Duke Johnson,29.0,BUF,RB,1.0,0.0,0.0,0.0,0.0,0.0,,7.0,157.0,0.0,43.0,22.4,161.0
559737.0,Jakob Johnson,28.0,LVR,FB,17.0,9.0,0.0,0.0,0.0,0.0,,1.0,15.0,0.0,15.0,15.0,25.0
3915411.0,Ty Johnson,25.0,NYJ,RB,17.0,1.0,0.0,0.0,0.0,0.0,,3.0,39.0,0.0,19.0,13.0,287.0
,Nikola Kalinic,25.0,IND,TE,7.0,2.0,0.0,0.0,0.0,0.0,,1.0,15.0,0.0,15.0,15.0,15.0
3910544.0,Joshua Kelley,25.0,LAC,RB,13.0,1.0,0.0,0.0,0.0,0.0,,1.0,15.0,0.0,15.0,15.0,403.0
4034779.0,Ko Kieft,24.0,TAM,TE,17.0,12.0,0.0,0.0,0.0,0.0,,1.0,7.0,0.0,7.0,7.0,87.0
4427728.0,Zonovan Knight,21.0,NYJ,RB,7.0,4.0,0.0,0.0,0.0,0.0,,1.0,18.0,0.0,18.0,18.0,418.0
3128390.0,Allen Lazard,27.0,GNB,WR,15.0,15.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,788.0
,Cameron Lewis,25.0,BUF,CB,13.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
