Player ID,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
3128390.0,Allen Lazard,27.0,GNB,WR,15.0,15.0,100.0,60.0,788.0,13.1,6.0,45.0,55.0,47.0,4.0,52.5,60.0,7.9,0.0
3116385.0,Joe Mixon,26.0,CIN,RB,14.0,14.0,75.0,60.0,441.0,7.4,2.0,17.0,50.7,35.0,4.3,31.5,80.0,5.9,0.0
3916566.0,K.J. Osborn,25.0,MIN,WR,17.0,9.0,90.0,60.0,650.0,10.8,5.0,32.0,58.9,66.0,3.5,38.2,66.7,7.2,1.0
139082.0,Aaron Jones,28.0,GNB,RB,17.0,17.0,72.0,59.0,395.0,6.7,5.0,19.0,44.4,30.0,3.5,23.2,81.9,5.5,5.0
546650.0,Tyler Boyd,28.0,CIN,WR,16.0,14.0,82.0,58.0,762.0,13.1,5.0,42.0,62.2,60.0,3.6,47.6,70.7,9.3,0.0
3915486.0,Tyler Conklin,27.0,NYJ,TE,17.0,16.0,87.0,58.0,552.0,9.5,3.0,25.0,44.8,30.0,3.4,32.5,66.7,6.3,2.0
3129253.0,Gerald Everett,28.0,LAC,TE,16.0,11.0,87.0,58.0,555.0,9.6,4.0,29.0,48.3,26.0,3.6,34.7,66.7,6.4,0.0
3123076.0,David Njoku,26.0,CLE,TE,14.0,14.0,80.0,58.0,628.0,10.8,4.0,36.0,61.3,38.0,4.1,44.9,72.5,7.9,1.0
3929630.0,Saquon Barkley,25.0,NYG,RB,16.0,16.0,76.0,57.0,338.0,5.9,0.0,10.0,38.2,41.0,3.6,21.1,75.0,4.4,1.0
511476.0,Brandin Cooks,29.0,HOU,WR,13.0,13.0,93.0,57.0,699.0,12.3,3.0,29.0,47.3,44.0,4.4,53.8,61.3,7.5,0.0
540210.0,Mack Hollins,29.0,LVR,WR,17.0,16.0,94.0,57.0,690.0,12.1,4.0,34.0,51.1,60.0,3.4,40.6,60.6,7.3,0.0
3122899.0,Richie James,27.0,NYG,WR,17.0,4.0,70.0,57.0,569.0,10.0,4.0,29.0,61.4,33.0,3.4,33.5,81.4,8.1,3.0
551298.0,Alvin Kamara,27.0,NOR,RB,15.0,13.0,77.0,57.0,490.0,8.6,2.0,17.0,46.8,54.0,3.8,32.7,74.0,6.4,4.0
3117256.0,Dalton Schultz,26.0,DAL,TE,15.0,15.0,89.0,57.0,577.0,10.1,5.0,27.0,55.1,30.0,3.8,38.5,64.0,6.5,1.0
505844.0,Jerick McKinnon,30.0,KAN,RB,17.0,0.0,71.0,56.0,512.0,9.1,9.0,28.0,54.9,56.0,3.3,30.1,78.9,7.2,1.0
3126486.0,Deebo Samuel,26.0,SFO,WR,13.0,12.0,94.0,56.0,632.0,11.3,2.0,25.0,47.9,57.0,4.3,48.6,59.6,6.7,3.0
3121023.0,Dallas Goedert,27.0,PHI,TE,12.0,12.0,69.0,55.0,702.0,12.8,3.0,40.0,69.6,31.0,4.6,58.5,79.7,10.2,1.0
4047365.0,Josh Jacobs,24.0,LVR,RB,17.0,17.0,64.0,53.0,400.0,7.5,0.0,16.0,50.0,43.0,3.1,23.5,82.8,6.3,3.0
,Robert Tonyan,28.0,GNB,TE,17.0,3.0,67.0,53.0,470.0,8.9,2.0,20.0,53.7,24.0,3.1,27.6,79.1,7.0,0.0
500234.0,Robert Woods,30.0,TEN,WR,17.0,15.0,91.0,53.0,527.0,9.9,2.0,31.0,50.5,41.0,3.1,31.0,58.2,5.8,1.0
4037235.0,Greg Dortch,24.0,ARI,WR,16.0,4.0,64.0,52.0,467.0,9.0,2.0,19.0,46.9,47.0,3.3,29.2,81.3,7.3,1.0
3924365.0,Hayden Hurst,29.0,CIN,TE,13.0,13.0,68.0,52.0,414.0,8.0,2.0,26.0,61.8,29.0,4.0,31.8,76.5,6.1,0.0
4426354.0,George Pickens,21.0,PIT,WR,17.0,12.0,84.0,52.0,801.0,15.4,4.0,38.0,48.8,42.0,3.1,47.1,61.9,9.5,0.0
559597.0,Russell Gage,26.0,TAM,WR,13.0,4.0,70.0,51.0,426.0,8.4,5.0,31.0,62.9,23.0,3.9,32.8,72.9,6.1,1.0
4036131.0,Noah Fant,25.0,SEA,TE,17.0,16.0,63.0,50.0,486.0,9.7,4.0,24.0,54.0,51.0,2.9,28.6,79.4,7.7,0.0
4258595.0,Cole Kmet,23.0,CHI,TE,17.0,17.0,69.0,50.0,544.0,10.9,7.0,27.0,59.4,50.0,2.9,32.0,72.5,7.9,1.0
4697815.0,Rachaad White,23.0,TAM,RB,17.0,8.0,58.0,50.0,290.0,5.8,2.0,13.0,53.4,20.0,2.9,17.1,86.2,5.0,3.0
4243537.0,Gabriel Davis,23.0,BUF,WR,15.0,15.0,93.0,48.0,836.0,17.4,7.0,35.0,51.6,98.0,3.2,55.7,51.6,9.0,1.0
3930086.0,Dawson Knox,26.0,BUF,TE,15.0,15.0,65.0,48.0,517.0,10.8,6.0,25.0,60.0,45.0,3.2,34.5,73.8,8.0,0.0
128259.0,Chris Moore,29.0,HOU,WR,16.0,7.0,74.0,48.0,548.0,11.4,2.0,24.0,47.3,52.0,3.0,34.3,64.9,7.4,0.0
546314.0,Demarcus Robinson,28.0,BAL,WR,17.0,5.0,75.0,48.0,458.0,9.5,2.0,23.0,46.7,31.0,2.8,26.9,64.0,6.1,2.0
4259545.0,D'Andre Swift,23.0,DET,RB,14.0,8.0,70.0,48.0,389.0,8.1,3.0,17.0,38.6,25.0,3.4,27.8,68.6,5.6,1.0
482590.0,Zach Ertz,32.0,ARI,TE,10.0,10.0,69.0,47.0,406.0,8.6,4.0,24.0,55.1,32.0,4.7,40.6,68.1,5.9,0.0
,Kalif Raymond,28.0,DET,WR,17.0,7.0,64.0,47.0,616.0,13.1,0.0,24.0,56.3,56.0,2.8,36.2,73.4,9.6,3.0
517708.0,DeAndre Carter,29.0,LAC,WR,17.0,7.0,65.0,46.0,538.0,11.7,3.0,29.0,53.8,35.0,2.7,31.6,70.8,8.3,3.0
