Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
61,Larry Foote,24,PIT,RILB,16,16,1,1,0,1,2.0,1,0,1,0,0,3.0,70.0,53.0,17.0,8.0,0,
62,Dwight Freeney,24,IND,RDE,16,16,0,0,0,0,3.0,4,0,0,0,0,16.0,36.0,33.0,3.0,17.0,0,"PB,AP-1,AP DPoY-3"
63,Scott Fujita,25,KAN,LLB,16,16,0,0,0,0,4.0,0,0,0,0,0,4.5,90.0,67.0,23.0,9.0,0,
64,Chris Gamble,21,CAR,RCB,16,16,6,15,0,13,14.0,1,1,1,0,0,0.0,75.0,69.0,6.0,3.0,0,
65,Aaron Glenn,32,HOU,LCB,16,16,5,40,0,23,14.0,0,2,1,0,0,0.0,64.0,56.0,8.0,0.0,0,
66,La'Roi Glover,30,DAL,RDT,16,16,0,0,0,0,1.0,1,0,0,0,0,7.0,41.0,31.0,10.0,10.0,0,PB
67,Mike Goff,28,SDG,RG,16,16,0,0,0,0,0.0,0,0,2,11,0,0.0,0.0,0.0,0.0,0.0,0,
68,Tony Gonzalez,28,KAN,TE,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
69,Charles Grant,26,NOR,LDE,16,16,1,8,0,8,7.0,3,0,1,0,0,10.5,80.0,66.0,14.0,19.0,0,
70,Deon Grant,25,JAX,FS,16,16,2,4,0,4,8.0,0,0,1,0,0,1.0,65.0,50.0,15.0,1.0,0,
71,Michael Green,28,CHI,SS,16,16,2,0,0,0,9.0,2,0,4,3,0,1.5,110.0,86.0,24.0,7.0,0,
72,Trent Green,34,KAN,QB,16,16,0,0,0,0,0.0,0,11,3,-6,0,0.0,0.0,0.0,0.0,0.0,0,
73,Robert Griffith,34,CLE,SS,16,16,1,18,0,18,3.0,0,0,0,0,0,1.0,119.0,92.0,27.0,8.0,0,
74,James Hall,27,DET,RDE,16,16,1,30,0,30,5.0,4,0,1,0,0,11.5,48.0,38.0,10.0,10.0,0,
75,Ben Hamilton,27,DEN,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
76,Ken Hamlin,23,SEA,FS,16,16,4,48,0,24,9.0,1,0,0,0,0,2.0,80.0,64.0,16.0,1.0,0,
77,Joey Harrington,26,DET,QB,16,16,0,0,0,0,0.0,0,6,0,-6,0,0.0,0.0,0.0,0.0,0.0,0,
78,Al Harris,30,GNB,RCB,16,16,1,29,0,29,20.0,0,0,0,0,0,0.0,62.0,56.0,6.0,0.0,0,
79,Tommie Harris,21,CHI,LDT,16,16,0,0,0,0,2.0,1,0,0,0,0,3.5,48.0,32.0,16.0,7.0,0,AP DRoY-6
80,Marvin Harrison,32,IND,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,"PB,AP-2"
81,Rodney Harrison,32,NWE,SS,16,16,2,12,0,12,8.0,3,0,0,0,0,3.0,141.0,96.0,45.0,6.0,0,AP-2
82,Eric Heitmann,24,SFO,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
83,John Henderson,25,JAX,RDT,16,16,0,0,0,0,4.0,0,0,1,0,0,5.5,75.0,62.0,13.0,9.0,0,PB
84,Kelly Herndon,28,DEN,RCB,16,16,2,17,0,15,23.0,3,0,1,0,0,1.0,70.0,56.0,14.0,4.0,0,
85,Eric Hicks,28,KAN,LDE,16,16,0,0,0,0,1.0,0,0,0,0,0,5.0,31.0,25.0,6.0,8.0,0,
86,Torry Holt,28,STL,WR,16,16,0,0,0,0,0.0,0,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
87,Chris Hope,24,PIT,FS,16,16,1,41,0,41,5.0,1,0,0,0,0,0.0,90.0,59.0,31.0,0.0,0,
88,Steve Hutchinson,27,SEA,LG,16,16,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
89,Darrell Jackson,26,SEA,WR,16,16,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
90,Edgerrin James,26,IND,RB,16,16,0,0,0,0,0.0,0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
91,Tory James,31,CIN,RCB,16,16,8,66,0,23,13.0,2,0,1,0,0,0.0,63.0,58.0,5.0,2.0,0,PB
92,Quentin Jammer,25,SDG,RCB,16,16,1,12,0,12,10.0,0,0,0,0,0,0.0,62.0,53.0,9.0,1.0,0,
93,Andre Johnson,23,HOU,WR,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0,PB
94,Chad Johnson,26,CIN,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
95,Keyshawn Johnson,32,DAL,WR,16,16,0,0,0,0,1.0,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0,
96,Rudi Johnson,25,CIN,RB,16,16,0,0,0,0,0.0,0,4,0,0,0,0.0,,,,,0,PB
97,Tebucky Jones,30,NOR,FS,16,16,1,55,0,55,4.0,1,0,1,0,0,0.0,102.0,79.0,23.0,0.0,0,
