Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
33.0,Ola Kimrin,32.0,WAS,K,5.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,10.0,6.0,41.0,60.0,6.0,6.0,100.0,17.0,885.0,0.0,0.0,52.0,
34.0,Jeff Chandler,25.0,2TM,K,5.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,8.0,5.0,49.0,62.5,14.0,14.0,100.0,14.0,871.0,0.0,0.0,62.0,
34.0,Jeff Chandler,25.0,CAR,K,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,8.0,8.0,100.0,0.0,0.0,0.0,,,
34.0,Jeff Chandler,25.0,WAS,K,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,5.0,49.0,83.3,6.0,6.0,100.0,14.0,871.0,0.0,0.0,62.0,
35.0,Jay Taylor,28.0,TAM,K,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,50.0,80.0,11.0,11.0,100.0,21.0,1190.0,0.0,0.0,57.0,
36.0,Matt Bryant,29.0,2TM,K,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,47.0,75.0,12.0,12.0,100.0,18.0,1121.0,0.0,0.0,62.0,
36.0,Matt Bryant,29.0,IND,K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,5.0,5.0,100.0,6.0,357.0,0.0,0.0,60.0,
36.0,Matt Bryant,29.0,MIA,K,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,47.0,100.0,7.0,7.0,100.0,12.0,764.0,0.0,0.0,64.0,
37.0,Bill Gramatica,26.0,MIA,K,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,30.0,100.0,1.0,0.0,0.0,6.0,398.0,1.0,16.7,66.0,
38.0,Craig Hentrich,33.0,TEN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,50.0,33.3,0.0,0.0,,73.0,4201.0,3.0,4.1,58.0,
