Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Aaron Stecker,29,NOR,RB,16,3,0,0,0,0,0.0,0,1,0,-14,0,0.0,4.0,4.0,0.0,0.0,0
,Brandon Stokley,28,IND,WR,16,3,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,James Thrash,29,WAS,WR,16,3,0,0,0,0,0.0,0,0,0,0,0,0.0,21.0,18.0,3.0,0.0,0
,Dewayne White,25,TAM,DE,16,3,0,0,0,0,3.0,0,0,1,0,0,6.0,39.0,32.0,7.0,6.0,0
,Keith Adams,25,PHI,LB,16,2,0,0,0,0,1.0,2,0,0,0,0,0.0,48.0,42.0,6.0,3.0,0
,Brendon Ayanbadejo,28,MIA,LB,16,2,1,2,0,2,1.0,0,0,0,0,0,0.0,40.0,23.0,17.0,0.0,0
,Antonio Chatman,25,GNB,WR,16,2,0,0,0,0,0.0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Stephen Cooper,25,SDG,LB,16,2,0,0,0,0,2.0,0,0,1,0,0,0.0,42.0,32.0,10.0,2.0,0
,Don Davis,32,NWE,LB,16,2,0,0,0,0,1.0,0,0,0,0,0,0.0,32.0,20.0,12.0,0.0,0
,Ron Edwards,25,BUF,DT,16,2,0,0,0,0,1.0,0,0,0,0,0,4.0,21.0,13.0,8.0,5.0,0
,Demarcus Faggins,25,HOU,DB,16,2,3,47,1,43,9.0,0,0,0,0,0,0.0,45.0,41.0,4.0,0.0,0
,Casey Fitzsimmons,24,DET,TE,16,2,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0
,Bryan Gilmore,26,MIA,WR,16,2,0,0,0,0,0.0,0,1,0,0,0,0.0,7.0,4.0,3.0,0.0,0
,Walt Harris,30,WAS,DB,16,2,2,31,0,31,5.0,1,0,0,0,0,0.0,18.0,16.0,2.0,0.0,0
,Roderick Hood,23,PHI,DB,16,2,1,20,0,20,7.0,1,1,3,1,0,0.0,40.0,36.0,4.0,1.0,0
,Bradie James,23,DAL,LB,16,2,0,0,0,0,2.0,0,0,0,0,0,0.0,54.0,40.0,14.0,1.0,0
,Niko Koutouvides,23,SEA,LB,16,2,0,0,0,0,0.0,0,0,0,0,0,1.0,62.0,49.0,13.0,4.0,0
,Antwan Lake,25,ATL,DE,16,2,0,0,0,0,1.0,0,0,0,0,0,0.0,10.0,8.0,2.0,1.0,0
,Kevin McCadam,25,ATL,DB,16,2,0,0,0,0,0.0,0,0,1,0,0,0.0,29.0,26.0,3.0,1.0,0
,Alvin McKinley,26,CLE,DT,16,2,0,0,0,0,1.0,0,0,2,0,0,3.0,49.0,29.0,20.0,5.0,0
,Pierson Prioleau,27,BUF,DB,16,2,0,0,0,0,1.0,0,0,1,12,0,0.0,39.0,25.0,14.0,0.0,0
,Sam Rayburn,24,PHI,DT,16,2,0,0,0,0,1.0,2,0,0,0,0,6.0,30.0,28.0,2.0,7.0,0
,Brandon Short,27,CAR,LB,16,2,0,0,0,0,0.0,1,0,1,0,0,0.0,55.0,42.0,13.0,3.0,0
,Kiwaukee Thomas,27,JAX,DB,16,2,0,0,0,0,0.0,0,0,0,0,0,0.0,17.0,14.0,3.0,2.0,0
,Darius Watts,23,DEN,WR,16,2,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0
,Roc Alexander,23,DEN,DB,16,1,0,0,0,0,0.0,0,0,1,0,0,0.0,18.0,12.0,6.0,0.0,0
,Eddie Berlin,26,TEN,WR,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,7.0,2.0,0.0,0
,Ladell Betts,25,WAS,RB,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,7.0,0.0,0.0,0
,Shawn Bryson,28,DET,RB,16,1,0,0,0,0,0.0,0,1,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Rosevelt Colvin,27,NWE,LB,16,1,0,0,0,0,1.0,1,0,0,0,0,5.0,32.0,18.0,14.0,4.0,0
,Koy Detmer,31,PHI,QB,16,1,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Nick Ferguson,30,DEN,DB,16,1,0,0,0,0,1.0,0,0,0,0,0,0.0,34.0,23.0,11.0,0.0,0
,John Gilmore,25,CHI,TE,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,12.0,1.0,0.0,0
,Jeff Gooch,30,TAM,LB,16,1,0,0,0,0,0.0,0,0,0,0,0,0.5,48.0,37.0,11.0,3.0,0
,Jarvis Green,25,NWE,DE,16,1,0,0,0,0,1.0,1,0,3,0,1,4.0,21.0,15.0,6.0,2.0,0
,Gerald Hayes,24,ARI,LB,16,1,0,0,0,0,0.0,1,1,1,0,0,0.0,26.0,22.0,4.0,2.0,0
,Von Hutchins,23,IND,DB,16,1,1,77,1,77,2.0,0,0,0,0,0,0.0,50.0,37.0,13.0,1.0,0
,Tank Johnson,23,CHI,DT,16,1,0,0,0,0,0.0,0,0,0,0,0,0.5,19.0,14.0,5.0,4.0,0
,Lance Johnstone,31,MIN,DE,16,1,0,0,0,0,1.0,5,0,0,0,0,11.0,31.0,25.0,6.0,8.0,0
,Nate Jones,22,DAL,DB,16,1,0,0,0,0,2.0,0,0,0,0,0,1.0,33.0,31.0,2.0,2.0,0
,Travis Kirschke,30,PIT,DT,16,1,0,0,0,0,0.0,0,0,0,0,0,1.0,15.0,9.0,6.0,4.0,0
,Robert Mathis,23,IND,DE,16,1,0,0,0,0,0.0,6,0,3,26,0,10.5,36.0,32.0,4.0,5.0,0
,Lee Mays,26,PIT,WR,16,1,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Marlon McCree,27,HOU,DB,16,1,1,24,0,24,3.0,0,0,0,0,0,0.0,32.0,30.0,2.0,0.0,0
,Scott McGarrahan,30,TEN,DB,16,1,1,11,0,11,3.0,0,0,0,0,0,0.5,41.0,32.0,9.0,1.0,0
,J.R. Redmond,27,OAK,RB,16,1,0,0,0,0,0.0,0,2,0,0,0,0.0,7.0,7.0,0.0,0.0,0
,Ike Reese,31,PHI,LB,16,1,2,22,0,15,8.0,1,0,0,0,0,1.0,53.0,45.0,8.0,2.0,0
,Allen Rossum,29,ATL,DB,16,1,2,22,0,14,5.0,0,2,1,0,0,1.0,29.0,26.0,3.0,1.0,0
,B.J. Sams,24,BAL,RB,16,1,0,0,0,0,0.0,0,5,1,0,0,0.0,2.0,2.0,0.0,0.0,0
,Matt Schobel,26,CIN,TE,16,1,0,0,0,0,0.0,0,1,1,0,0,0.0,4.0,3.0,1.0,0.0,0
,Mike Sellers,29,WAS,RB,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,12.0,1.0,0.0,0
,Kevin Thomas,26,BUF,DB,16,1,0,0,0,0,1.0,1,0,0,0,0,1.0,45.0,32.0,13.0,0.0,0
,Reggie Torbor,23,NYG,LB,16,1,0,0,0,0,0.0,2,0,1,0,0,3.0,41.0,31.0,10.0,5.0,0
,David Tyree,24,NYG,WR,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,14.0,13.0,1.0,0.0,0
,Kyle Vanden Bosch,26,ARI,DE,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,11.0,2.0,0.0,0
,Raymond Walls,25,BAL,DB,16,1,0,0,0,0,2.0,0,0,1,0,0,0.0,19.0,14.0,5.0,0.0,0
,Jonathan Wells,25,HOU,RB,16,1,0,0,0,0,0.0,0,1,0,0,0,0.0,7.0,6.0,1.0,0.0,0
,Chad Williams,25,BAL,DB,16,1,3,156,1,94,7.0,0,0,0,0,0,2.0,48.0,40.0,8.0,5.0,0
,Demorrio Williams,24,ATL,LB,16,1,0,0,0,0,0.0,0,0,0,0,0,2.5,56.0,48.0,8.0,6.0,0
,Jay Williams,33,MIA,DE,16,1,1,0,0,0,4.0,2,0,0,0,0,2.0,38.0,21.0,17.0,4.0,0
,Sam Aiken,24,BUF,WR,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,0.0,0
,David Akers,30,PHI,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Ethan Albright,33,WAS,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Ken Amato,27,TEN,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,15.0,14.0,1.0,1.0,0
,Morten Andersen,44,MIN,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0
,B.J. Askew,24,NYJ,FB,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,15.0,12.0,3.0,0.0,0
,Chris Baker,25,NYJ,TE,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Tully Banta-Cain,24,NWE,LB,16,0,1,4,0,4,1.0,0,0,1,0,0,1.5,28.0,18.0,10.0,1.0,0
,Bryan Barker,40,GNB,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Mike Bartrum,34,PHI,LS,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,,,,,0
,Marcus Bell,25,DET,DT,16,0,0,0,0,0,1.0,1,0,0,0,0,2.0,27.0,19.0,8.0,2.0,0
,Mitch Berger,32,NOR,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Josh Bidwell,28,TAM,P,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,David Binn,32,SDG,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Josh Brown,25,SEA,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,0.0,2.0,0.0,0
,Kris Brown,28,HOU,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Tony Bryant,28,NOR,DE,16,0,0,0,0,0,0.0,0,0,0,0,0,2.0,11.0,7.0,4.0,1.0,1
,Terrell Buckley,33,NYJ,DB,16,0,3,30,0,18,11.0,1,0,0,0,0,0.0,10.0,8.0,2.0,0.0,0
,Joe Burns,25,BUF,RB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,10.0,5.0,5.0,0.0,0
,Keith Burns,32,TAM,LB,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,12.0,8.0,4.0,0.0,0
,Kerry Carter,24,SEA,RB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,7.0,0.0,0.0,0
,Steve Christie,37,NYG,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,2.0,0.0,0
,Ricardo Colclough,21,PIT,DB,16,0,0,0,0,0,3.0,2,3,0,0,0,1.5,28.0,22.0,6.0,0.0,0
,Deke Cooper,27,JAX,DB,16,0,1,0,0,0,2.0,2,0,0,0,0,1.0,38.0,34.0,4.0,0.0,0
,Angelo Crowell,23,BUF,LB,16,0,0,0,0,0,1.0,0,0,0,0,0,0.0,14.0,8.0,6.0,0.0,0
,Billy Cundiff,24,DAL,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Matt Cushing,29,PIT,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Jean-Phillipe Darche,29,SEA,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0
,Rob Davis,36,GNB,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0
,Phil Dawson,29,CLE,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,James Dearth,28,NYJ,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Curtis DeLoatch,23,NYG,DB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,28.0,23.0,5.0,0.0,0
,Paul Edinger,26,CHI,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Kalimba Edwards,25,DET,DE,16,0,0,0,0,0,1.0,2,0,1,0,0,4.5,22.0,18.0,4.0,2.0,0
,Jeff Feagles,38,NYG,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Jay Feely,28,ATL,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Tony Fisher,25,GNB,RB,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,9.0,6.0,3.0,0.0,0
,Troy Fleming,24,TEN,RB,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,11.0,8.0,3.0,0.0,0
,Jamar Fletcher,25,SDG,DB,16,0,1,0,0,0,5.0,0,0,1,7,0,0.0,38.0,35.0,3.0,1.0,0
,Todd Franz,28,WAS,DB,16,0,1,22,0,22,1.0,0,0,1,0,0,0.0,7.0,5.0,2.0,0.0,0
,Derrick Frost,24,CLE,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0
,Kendall Gammon,36,KAN,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0
,Tony Gilbert,25,JAX,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,5.0,0.0,0.0,0
,Toby Gowin,29,NYJ,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,0.0,0
,Shayne Graham,27,CIN,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0
,Mario Haggan,24,BUF,LB,16,0,0,0,0,0,0.0,1,0,2,0,0,0.0,19.0,15.0,4.0,0.0,0
,Ryan Hannam,24,SEA,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Chris Hanson,28,JAX,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Jason Hanson,34,DET,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Nick Harris,26,DET,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Craig Hentrich,33,TEN,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Nathan Hodel,27,ARI,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0
,Terrence Holt,24,DET,DB,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,28.0,22.0,6.0,2.0,0
,Kevin Houser,27,NOR,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Corey Ivy,27,TAM,DB,16,0,0,11,0,11,0.0,0,0,1,0,0,0.0,15.0,13.0,2.0,0.0,0
,Larry Izzo,30,NWE,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,22.0,3.0,0.0,0
,Terry Jackson,28,SFO,FB,16,0,0,0,0,0,0.0,0,3,1,0,0,0.0,10.0,10.0,0.0,0.0,0
,Michael Jameson,25,CLE,DB,16,0,0,0,0,0,1.0,1,0,1,0,0,0.0,18.0,13.0,5.0,0.0,0
,Sebastian Janikowski,26,OAK,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Michael Jenkins,22,ATL,WR,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,9.0,8.0,1.0,0.0,0
,Brian Jennings,28,SFO,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0
,Dirk Johnson,29,PHI,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Jarret Johnson,23,BAL,DE,16,0,1,6,1,6,2.0,0,0,1,0,0,0.0,23.0,15.0,8.0,4.0,0
,Tim Johnson,26,OAK,LB,16,0,1,8,0,8,4.0,0,0,0,0,0,0.5,39.0,26.0,13.0,2.0,0
,Trevor Johnson,23,NYJ,DE,16,0,0,0,0,0,1.0,0,0,0,0,0,0.0,20.0,16.0,4.0,1.0,0
,Brian Jones,23,JAX,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,2.0,2.0,0.0,0
,Fred Jones,27,KAN,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,12.0,1.0,0.0,0
,LaMont Jordan,26,NYJ,RB,16,0,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Nate Kaeding,22,SDG,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Ryan Kuehl,32,NYG,DT,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0
,Jason Kyle,32,CAR,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Kyle Larson,24,CIN,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,2.0,0.0,0
,Mike Leach,28,DEN,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Andy Lee,22,SFO,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Keith Lewis,23,SFO,DB,16,0,0,0,0,0,0.0,1,0,1,0,0,0.0,11.0,7.0,4.0,0.0,0
,Rian Lindell,27,BUF,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0
,Cullen Loeffler,23,MIN,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Ryan Longwell,30,GNB,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Patrick Mannelly,29,CHI,T,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,5.0,1.0,0.0,0
,Chris Massey,25,STL,RB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,7.0,0.0,0.0,0
,Brad Maynard,30,CHI,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,2.0,0.0,0
,Mat McBriar,25,DAL,P,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,2.0,2.0,0.0,0.0,0
,Darrell McClover,23,NYJ,LB,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,15.0,13.0,2.0,0.0,0
,Shaun McDonald,23,STL,WR,16,0,0,0,0,0,0.0,0,4,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Chris Mohr,38,ATL,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Brian Moorman,28,BUF,P,16,0,0,0,0,0,0.0,0,2,2,0,0,0.0,1.0,1.0,0.0,0.0,0
,Sean Morey,28,PIT,WR,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,11.0,7.0,4.0,0.0,0
,Reggie Myles,25,CIN,DB,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,23.0,20.0,3.0,0.0,0
,Mike Nattiel,24,MIN,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,22.0,19.0,3.0,0.0,0
,Ryan Nece,25,TAM,LB,16,0,1,2,0,2,1.0,0,0,1,0,0,0.0,12.0,10.0,2.0,0.0,0
,Larry Ned,26,MIN,RB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,12.0,1.0,0.0,0
,Keith O'Neil,24,DAL,LB,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,14.0,12.0,2.0,0.0,0
,Willie Offord,26,MIN,DB,16,0,0,0,0,0,1.0,0,0,0,0,0,0.0,28.0,19.0,9.0,1.0,0
,John Parrella,35,OAK,DT,16,0,0,0,0,0,1.0,0,0,0,0,0,0.0,22.0,20.0,2.0,0.0,0
,Lonie Paxton,26,NWE,LS,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0
,Ed Perry,30,MIA,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0
,Shaun Phillips,23,SDG,LB,16,0,1,0,0,0,3.0,0,0,2,0,0,4.0,27.0,21.0,6.0,2.0,0
,Bryan Pittman,27,HOU,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Scott Player,35,ARI,P,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Ryan Pontbriand,25,CLE,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Kelvin Pritchett,35,DET,DT,16,0,0,0,0,0,1.0,0,0,0,0,0,1.0,17.0,10.0,7.0,3.0,0
,Neil Rackers,28,ARI,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,5.0,0.0,0.0,0
,Derek Rackley,27,ATL,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Wali Rainer,27,DET,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,22.0,13.0,9.0,0.0,0
,James Reed,27,NYJ,DT,16,0,0,0,0,0,0.0,0,0,0,0,0,2.0,19.0,13.0,6.0,3.0,0
,Jeff Reed,25,PIT,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Dominic Rhodes,25,IND,RB,16,0,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Kris Richard,26,SEA,DB,16,0,0,0,0,0,1.0,1,0,0,0,0,0.0,35.0,30.0,5.0,0.0,0
,Jeff Robinson,34,DAL,TE,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,2.0,0.0,0
,Todd Sauerbrun,31,CAR,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Mike Schneck,27,PIT,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0
,Mike Scifres,24,SDG,P,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Josh Scobee,22,JAX,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Hunter Smith,27,IND,P,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,2.0,0.0,2.0,0.0,0
,Justin Snow,28,IND,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0
,Nick Sorensen,26,JAX,DB,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,12.0,10.0,2.0,0.0,0
,Brad St. Louis,28,CIN,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0
,Josh Stamer,27,BUF,LB,16,0,1,0,0,0,1.0,0,0,0,0,0,0.0,24.0,17.0,7.0,2.0,0
,Gary Stills,30,KAN,DE,16,0,0,0,0,0,0.0,0,0,2,0,0,2.5,30.0,27.0,3.0,3.0,0
,Kalen Thornton,22,DAL,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,17.0,14.0,3.0,0.0,0
,Larry Tripplett,25,IND,DT,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,29.0,26.0,3.0,4.0,0
,Tom Tupa,38,WAS,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Lawrence Tynes,26,KAN,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Artie Ulmer,31,ATL,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,14.0,13.0,1.0,0.0,0
,Adam Vinatieri,32,NWE,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Al Wallace,30,CAR,DE,16,0,0,0,0,0,0.0,2,0,1,0,0,1.0,26.0,23.0,3.0,3.0,0
,Kevin Walter,23,CIN,WR,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,12.0,12.0,0.0,0.0,0
,Kenny Watson,26,CIN,RB,16,0,0,0,0,0,0.0,0,2,1,0,0,0.0,14.0,9.0,5.0,1.0,0
,Eric Westmoreland,27,CLE,LB,16,0,0,0,0,0,1.0,1,0,1,0,0,0.0,20.0,14.0,6.0,1.0,0
,Jeff Wilkins,32,STL,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,7.0,2.0,0.0,0
,Marcus Wilkins,24,CIN,LB,16,0,0,0,0,0,0.0,2,0,2,0,0,0.0,22.0,13.0,9.0,0.0,0
,Kenny Wright,27,HOU,DB,16,0,0,0,0,0,0.0,0,0,0,0,0,1.0,13.0,11.0,2.0,1.0,0
,Kenyatta Wright,26,NYJ,LB,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,13.0,8.0,5.0,0.0,0
,Tyler Brayton,25,OAK,LDE,15,15,1,24,0,24,7.0,0,0,0,0,0,2.5,45.0,37.0,8.0,4.0,0
,Drew Brees,25,SDG,QB,15,15,0,0,0,0,0.0,0,7,3,-9,0,0.0,0.0,0.0,0.0,0.0,0
,Brentson Buckner,33,CAR,LDT,15,15,1,8,0,8,5.0,1,0,0,0,0,3.5,41.0,27.0,14.0,5.0,0
,Leonardo Carson,27,DAL,LDT,15,15,0,0,0,0,0.0,0,0,1,0,0,0.5,43.0,29.0,14.0,4.0,0
,Chris Chambers,26,MIA,WR,15,15,0,0,0,0,0.0,0,1,0,-5,0,0.0,0.0,0.0,0.0,0.0,0
,Keary Colbert,22,CAR,WR,15,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,James Darling,30,ARI,RLB,15,15,1,65,0,65,6.0,2,1,0,0,0,1.0,95.0,77.0,18.0,8.0,0
,Leonard Davis,26,ARI,LT,15,15,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Brian Dawkins,31,PHI,FS,15,15,4,40,0,32,12.0,2,0,1,0,0,3.0,70.0,62.0,8.0,3.0,0
,Shaun Ellis,27,NYJ,LDE,15,15,0,0,0,0,4.0,2,0,1,0,0,11.0,57.0,39.0,18.0,11.0,0
,Carlos Emmons,31,NYG,LLB,15,15,0,0,0,0,3.0,0,0,0,0,0,1.0,97.0,62.0,35.0,3.0,0
,Randall Godfrey,31,SDG,RILB,15,15,0,0,0,0,3.0,3,0,1,0,0,2.0,87.0,68.0,19.0,7.0,0
,Ahman Green,27,GNB,RB,15,15,0,0,0,0,0.0,0,7,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Cornelius Griffin,28,WAS,RDT,15,15,0,0,0,0,6.0,0,0,1,0,0,6.0,70.0,56.0,14.0,21.0,0
,Justin Hartwig,26,TEN,C,15,15,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Pete Kendall,31,NYJ,LG,15,15,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Ray Lewis,29,BAL,RILB,15,15,0,0,0,0,6.0,1,0,2,0,0,1.0,147.0,101.0,46.0,6.0,0
