Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Ken Hamlin,23,SEA,FS,16,16,4,48,0,24,9.0,1,0,0,0,0,2.0,80.0,64.0,16.0,1.0,0
,Joey Harrington,26,DET,QB,16,16,0,0,0,0,0.0,0,6,0,-6,0,0.0,0.0,0.0,0.0,0.0,0
,Al Harris,30,GNB,RCB,16,16,1,29,0,29,20.0,0,0,0,0,0,0.0,62.0,56.0,6.0,0.0,0
,Tommie Harris,21,CHI,LDT,16,16,0,0,0,0,2.0,1,0,0,0,0,3.5,48.0,32.0,16.0,7.0,0
,Marvin Harrison,32,IND,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Rodney Harrison,32,NWE,SS,16,16,2,12,0,12,8.0,3,0,0,0,0,3.0,141.0,96.0,45.0,6.0,0
,Eric Heitmann,24,SFO,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,John Henderson,25,JAX,RDT,16,16,0,0,0,0,4.0,0,0,1,0,0,5.5,75.0,62.0,13.0,9.0,0
,Kelly Herndon,28,DEN,RCB,16,16,2,17,0,15,23.0,3,0,1,0,0,1.0,70.0,56.0,14.0,4.0,0
,Eric Hicks,28,KAN,LDE,16,16,0,0,0,0,1.0,0,0,0,0,0,5.0,31.0,25.0,6.0,8.0,0
,Torry Holt,28,STL,WR,16,16,0,0,0,0,0.0,0,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0
,Chris Hope,24,PIT,FS,16,16,1,41,0,41,5.0,1,0,0,0,0,0.0,90.0,59.0,31.0,0.0,0
,Steve Hutchinson,27,SEA,LG,16,16,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Darrell Jackson,26,SEA,WR,16,16,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
