Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
52.0,Antonio Cromartie,26.0,NYJ,RCB,15.0,15.0,5.0,36.0,0.0,16.0,7.2,1.0,-6.0,0.0,-6.0,-6.0,105.0,
53.0,Adam Jones,27.0,CIN,DB,5.0,1.0,5.0,33.0,0.0,27.0,6.6,7.0,134.0,0.0,29.0,19.1,236.0,
54.0,Max Komar,23.0,ARI,WR,8.0,0.0,5.0,31.0,0.0,9.0,6.2,0.0,0.0,0.0,0.0,,148.0,
55.0,Wes Welker,29.0,NWE,WR,15.0,11.0,5.0,36.0,0.0,22.0,7.2,0.0,0.0,0.0,0.0,,884.0,"PB,AP CPoY-4"
56.0,Phillip Adams,22.0,SFO,DB,15.0,0.0,4.0,29.0,0.0,16.0,7.3,0.0,0.0,0.0,0.0,,29.0,
57.0,David Anderson,27.0,HOU,WR,12.0,1.0,4.0,26.0,0.0,17.0,6.5,0.0,0.0,0.0,0.0,,143.0,
58.0,Santonio Holmes,26.0,NYJ,WR,12.0,10.0,4.0,40.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,,803.0,
59.0,Emmanuel Sanders,23.0,PIT,WR,13.0,1.0,4.0,60.0,0.0,38.0,15.0,25.0,628.0,0.0,48.0,25.1,1064.0,
60.0,Bernard Berrian,30.0,MIN,WR,14.0,9.0,3.0,2.0,0.0,2.0,0.7,0.0,0.0,0.0,0.0,,246.0,
61.0,Chris Carr,27.0,BAL,LCB,16.0,16.0,3.0,8.0,0.0,10.0,2.7,1.0,14.0,0.0,14.0,14.0,35.0,
62.0,Perrish Cox,23.0,DEN,RCB,15.0,9.0,3.0,7.0,0.0,4.0,2.3,9.0,172.0,0.0,30.0,19.1,194.0,
63.0,Justin Forsett,25.0,SEA,RB,16.0,5.0,3.0,17.0,0.0,12.0,5.7,1.0,8.0,0.0,8.0,8.0,800.0,
64.0,Chad Hall,24.0,PHI,WR,8.0,1.0,3.0,31.0,0.0,14.0,10.3,4.0,65.0,0.0,21.0,16.3,240.0,
65.0,Jeremy Maclin,22.0,PHI,WR,16.0,16.0,3.0,17.0,0.0,9.0,5.7,1.0,22.0,0.0,22.0,22.0,1039.0,
66.0,Ed Reed,32.0,BAL,FS,10.0,10.0,3.0,11.0,0.0,9.0,3.7,0.0,0.0,0.0,0.0,,194.0,"PB,AP-1,AP DPoY-6"
67.0,Syd'Quan Thompson,23.0,DEN,DB,13.0,0.0,3.0,18.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,,38.0,
68.0,Kyle Williams,22.0,SFO,WR,5.0,0.0,3.0,16.0,0.0,9.0,5.3,4.0,82.0,0.0,30.0,20.5,99.0,
69.0,Phillip Buchanon,30.0,WAS,RCB,16.0,5.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,,52.0,
